Loading corpus at level h2 ...
  31 clusters, 1,986,659 documents (smallest 20448, largest 169315)

Running intrusion | level=h2 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=2 pred=2 | OK
Trial   80 | true=1 pred=1 | OK
Trial   81 | true=5 pred=5 | OK
Trial   82 | true=1 pred=5 |  X
Trial   83 | true=2 pred=3 |  X
Trial   84 | true=3 pred=3 | OK
Trial   85 | true=2 pred=2 | OK
Trial   86 | true=3 pred=3 | OK
Trial   87 | true=2 pred=2 | OK
Trial   88 | true=1 pred=1 | OK
Trial   89 | true=2 pred=2 | OK
Trial   90 | true=2 pred=2 | OK
Trial   91 | true=5 pred=5 | OK
Trial   92 | true=1 pred=2 |  X
Trial   93 | true=3 pred=1 |  X
Trial   94 | true=2 pred=3 |  X
Trial   95 | true=3 pred=2 |  X
Trial   96 | true=4 pred=4 | OK
Trial   97 | true=1 pred=5 |  X
Trial   98 | true=2 pred=1 |  X
Trial   99 | true=5 pred=5 | OK
Trial  100 | true=5 pred=5 | OK
Trial  101 | true=2 pred=3 |  X
Trial  102 | true=3 pred=3 | OK
Trial  103 | true=5 pred=5 | OK
Trial  104 | true=4 pred=4 | OK
Trial  105 | true=3 pred=4 |  X
Trial  106 | true=3 pred=1 |  X
Trial  107 | true=3 pred=3 | OK
Trial  108 | true=4 pred=4 | OK
Trial  109 | true=1 pred=1 | OK
Trial  110 | true=2 pred=2 | OK
Trial  111 | true=5 pred=1 |  X [truncated]
Trial  112 | true=2 pred=3 |  X
Trial  113 | true=3 pred=5 |  X
Trial  114 | true=2 pred=3 |  X
Trial  115 | true=3 pred=3 | OK
Trial  116 | true=5 pred=5 | OK
Trial  117 | true=2 pred=2 | OK
Trial  118 | true=5 pred=5 | OK
Trial  119 | true=1 pred=1 | OK
Trial  120 | true=3 pred=4 |  X
Trial  121 | true=5 pred=1 |  X [truncated]
Trial  122 | true=4 pred=4 | OK
Trial  123 | true=2 pred=2 | OK [reasoning] [truncated]
Trial  124 | true=1 pred=5 |  X
Trial  125 | true=4 pred=3 |  X
Trial  126 | true=3 pred=3 | OK
Trial  127 | true=3 pred=3 | OK
Trial  128 | true=2 pred=2 | OK
Trial  129 | true=2 pred=5 |  X
Trial  130 | true=4 pred=4 | OK
Trial  131 | true=4 pred=4 | OK
Trial  132 | true=5 pred=5 | OK
Trial  133 | true=4 pred=4 | OK
Trial  134 | true=5 pred=5 | OK
Trial  135 | true=1 pred=1 | OK
Trial  136 | true=1 pred=2 |  X
Trial  137 | true=4 pred=1 |  X
Trial  138 | true=2 pred=2 | OK
Trial  139 | true=4 pred=4 | OK
Trial  140 | true=5 pred=5 | OK
Trial  141 | true=4 pred=4 | OK
Trial  142 | true=1 pred=2 |  X
Trial  143 | true=5 pred=5 | OK
Trial  144 | true=3 pred=3 | OK
Trial  145 | true=4 pred=5 |  X [truncated]
Trial  146 | true=5 pred=3 |  X
Trial  147 | true=2 pred=2 | OK
Trial  148 | true=2 pred=2 | OK
Trial  149 | true=1 pred=2 |  X
Trial  150 | true=4 pred=4 | OK
Trial  151 | true=3 pred=3 | OK [truncated]
Trial  152 | true=3 pred=3 | OK
Trial  153 | true=5 pred=5 | OK
Trial  154 | true=3 pred=3 | OK
Trial  155 | true=2 pred=4 |  X
Trial  156 | true=1 pred=1 | OK
Trial  157 | true=3 pred=5 |  X
Trial  158 | true=2 pred=2 | OK
Trial  159 | true=4 pred=3 |  X
Trial  160 | true=3 pred=3 | OK
Trial  161 | true=5 pred=5 | OK
Trial  162 | true=4 pred=4 | OK
Trial  163 | true=1 pred=1 | OK
Trial  164 | true=3 pred=4 |  X
Trial  165 | true=2 pred=2 | OK
Trial  166 | true=5 pred=5 | OK
Trial  167 | true=2 pred=2 | OK
Trial  168 | true=3 pred=3 | OK
Trial  169 | true=1 pred=1 | OK
Trial  170 | true=1 pred=2 |  X
Trial  171 | true=5 pred=3 |  X
Trial  172 | true=4 pred=2 |  X
Trial  173 | true=3 pred=3 | OK
Trial  174 | true=5 pred=5 | OK
Trial  175 | true=4 pred=5 |  X
Trial  176 | true=2 pred=3 |  X
Trial  177 | true=5 pred=2 |  X [truncated]
Trial  178 | true=3 pred=3 | OK
Trial  179 | true=1 pred=1 | OK
Trial  180 | true=5 pred=5 | OK
Trial  181 | true=2 pred=2 | OK
Trial  182 | true=2 pred=2 | OK [truncated]
Trial  183 | true=2 pred=2 | OK
Trial  184 | true=3 pred=3 | OK
Trial  185 | true=3 pred=3 | OK
Trial  186 | true=1 pred=2 |  X
Trial  187 | true=1 pred=1 | OK
Trial  188 | true=4 pred=3 |  X
Trial  189 | true=2 pred=4 |  X
Trial  190 | true=2 pred=5 |  X [truncated]
Trial  191 | true=4 pred=3 |  X
Trial  192 | true=2 pred=2 | OK
Trial  193 | true=1 pred=1 | OK
Trial  194 | true=4 pred=4 | OK
Trial  195 | true=5 pred=5 | OK
Trial  196 | true=1 pred=1 | OK
Trial  197 | true=5 pred=5 | OK
Trial  198 | true=1 pred=4 |  X
Trial  199 | true=2 pred=3 |  X
Trial  200 | true=4 pred=4 | OK
Trial  201 | true=5 pred=5 | OK [truncated]
Trial  202 | true=3 pred=3 | OK
Trial  203 | true=4 pred=4 | OK
Trial  204 | true=3 pred=3 | OK
Trial  205 | true=5 pred=5 | OK
Trial  206 | true=2 pred=4 |  X
Trial  207 | true=3 pred=3 | OK
Trial  208 | true=2 pred=5 |  X
Trial  209 | true=4 pred=1 |  X
Trial  210 | true=2 pred=4 |  X
Trial  211 | true=2 pred=2 | OK
Trial  212 | true=3 pred=3 | OK
Trial  213 | true=5 pred=5 | OK
Trial  214 | true=4 pred=1 |  X
Trial  215 | true=5 pred=5 | OK
Trial  216 | true=5 pred=5 | OK
Trial  217 | true=4 pred=4 | OK
Trial  218 | true=2 pred=5 |  X [truncated]
Trial  219 | true=4 pred=4 | OK
Trial  220 | true=4 pred=3 |  X
Trial  221 | true=1 pred=4 |  X
Trial  222 | true=2 pred=3 |  X
Trial  223 | true=3 pred=3 | OK
Trial  224 | true=1 pred=1 | OK
Trial  225 | true=3 pred=3 | OK
Trial  226 | true=5 pred=3 |  X
Trial  227 | true=4 pred=4 | OK
Trial  228 | true=3 pred=5 |  X
Trial  229 | true=2 pred=2 | OK
Trial  230 | true=3 pred=3 | OK
Trial  231 | true=3 pred=3 | OK
Trial  232 | true=4 pred=4 | OK
Trial  233 | true=1 pred=5 |  X
Trial  234 | true=2 pred=2 | OK
Trial  235 | true=5 pred=5 | OK
Trial  236 | true=1 pred=1 | OK
Trial  237 | true=5 pred=5 | OK
Trial  238 | true=2 pred=2 | OK
Trial  239 | true=4 pred=5 |  X
Trial  240 | true=5 pred=4 |  X
Trial  241 | true=5 pred=5 | OK [truncated]
Trial  242 | true=3 pred=4 |  X
Trial  243 | true=1 pred=4 |  X [truncated]
Trial  244 | true=2 pred=2 | OK
Trial  245 | true=2 pred=5 |  X [truncated]
Trial  246 | true=4 pred=2 |  X
Trial  247 | true=5 pred=5 | OK
Trial  248 | true=5 pred=5 | OK
Trial  249 | true=3 pred=5 |  X [truncated]
Trial  250 | true=4 pred=4 | OK
Trial  251 | true=2 pred=2 | OK
Trial  252 | true=1 pred=5 |  X [truncated]
Trial  253 | true=3 pred=3 | OK
Trial  254 | true=4 pred=4 | OK
Trial  255 | true=3 pred=2 |  X
Trial  256 | true=4 pred=4 | OK
Trial  257 | true=4 pred=4 | OK
Trial  258 | true=3 pred=3 | OK
Trial  259 | true=3 pred=2 |  X
Trial  260 | true=1 pred=5 |  X
Trial  261 | true=4 pred=4 | OK
Trial  262 | true=1 pred=1 | OK
Trial  263 | true=2 pred=4 |  X
Trial  264 | true=5 pred=5 | OK
Trial  265 | true=3 pred=5 |  X [truncated]
Trial  266 | true=3 pred=3 | OK
Trial  267 | true=1 pred=1 | OK
Trial  268 | true=2 pred=2 | OK
Trial  269 | true=3 pred=2 |  X
Trial  270 | true=5 pred=2 |  X
Trial  271 | true=4 pred=5 |  X [truncated]
Trial  272 | true=5 pred=5 | OK
Trial  273 | true=2 pred=2 | OK
Trial  274 | true=4 pred=3 |  X
Trial  275 | true=3 pred=2 |  X
Trial  276 | true=2 pred=1 |  X [truncated]
Trial  277 | true=4 pred=4 | OK
Trial  278 | true=1 pred=4 |  X
Trial  279 | true=1 pred=2 |  X
Trial  280 | true=2 pred=2 | OK
Trial  281 | true=5 pred=3 |  X
Trial  282 | true=5 pred=2 |  X [reasoning] [truncated]
Trial  283 | true=2 pred=5 |  X [truncated]
Trial  284 | true=3 pred=3 | OK
Trial  285 | true=5 pred=5 | OK
Trial  286 | true=1 pred=2 |  X
Trial  287 | true=1 pred=4 |  X
Trial  288 | true=4 pred=2 |  X
Trial  289 | true=3 pred=3 | OK
Trial  290 | true=3 pred=3 | OK
Trial  291 | true=2 pred=2 | OK
Trial  292 | true=4 pred=4 | OK
Trial  293 | true=1 pred=2 |  X
Trial  294 | true=1 pred=1 | OK
Trial  295 | true=1 pred=1 | OK
Trial  296 | true=2 pred=2 | OK
Trial  297 | true=2 pred=2 | OK
Trial  298 | true=3 pred=2 |  X
Trial  299 | true=5 pred=5 | OK
Trial  300 | true=2 pred=5 |  X [truncated]
Trial  301 | true=1 pred=1 | OK
Trial  302 | true=1 pred=1 | OK
Trial  303 | true=5 pred=5 | OK
Trial  304 | true=3 pred=3 | OK
Trial  305 | true=4 pred=3 |  X
Trial  306 | true=3 pred=3 | OK
Trial  307 | true=5 pred=5 | OK
Trial  308 | true=1 pred=1 | OK
Trial  309 | true=5 pred=5 | OK
Trial  310 | true=5 pred=5 | OK
Trial  311 | true=3 pred=3 | OK
Trial  312 | true=5 pred=5 | OK
Trial  313 | true=5 pred=5 | OK
Trial  314 | true=3 pred=3 | OK
Trial  315 | true=5 pred=4 |  X
Trial  316 | true=3 pred=3 | OK
Trial  317 | true=3 pred=2 |  X
Trial  318 | true=1 pred=1 | OK
Trial  319 | true=5 pred=5 | OK
Trial  320 | true=1 pred=1 | OK
Trial  321 | true=5 pred=5 | OK
Trial  322 | true=2 pred=5 |  X
Trial  323 | true=2 pred=3 |  X
Trial  324 | true=1 pred=4 |  X
Trial  325 | true=5 pred=3 |  X
Trial  326 | true=2 pred=4 |  X
Trial  327 | true=3 pred=4 |  X
Trial  328 | true=5 pred=1 |  X
Trial  329 | true=3 pred=2 |  X
Trial  330 | true=1 pred=1 | OK
Trial  331 | true=4 pred=2 |  X
Trial  332 | true=4 pred=3 |  X
Trial  333 | true=2 pred=2 | OK [truncated]
Trial  334 | true=3 pred=2 |  X
Trial  335 | true=4 pred=4 | OK
Trial  336 | true=1 pred=1 | OK
Trial  337 | true=3 pred=3 | OK
Trial  338 | true=3 pred=1 |  X
Trial  339 | true=5 pred=5 | OK
Trial  340 | true=5 pred=5 | OK
Trial  341 | true=5 pred=5 | OK
Trial  342 | true=4 pred=5 |  X [truncated]
Trial  343 | true=4 pred=4 | OK
Trial  344 | true=2 pred=1 |  X
Trial  345 | true=3 pred=3 | OK
Trial  346 | true=3 pred=3 | OK
Trial  347 | true=2 pred=2 | OK
Trial  348 | true=1 pred=1 | OK
Trial  349 | true=5 pred=2 |  X
Trial  350 | true=3 pred=5 |  X [reasoning] [truncated]
Trial  351 | true=2 pred=2 | OK
Trial  352 | true=4 pred=4 | OK
Trial  353 | true=5 pred=3 |  X [truncated]
Trial  354 | true=2 pred=5 |  X
Trial  355 | true=3 pred=3 | OK
Trial  356 | true=1 pred=1 | OK
Trial  357 | true=1 pred=1 | OK
Trial  358 | true=1 pred=1 | OK
Trial  359 | true=1 pred=5 |  X
Trial  360 | true=4 pred=5 |  X
Trial  361 | true=1 pred=5 |  X
Trial  362 | true=3 pred=3 | OK
Trial  363 | true=4 pred=4 | OK
Trial  364 | true=1 pred=5 |  X
Trial  365 | true=5 pred=5 | OK
Trial  366 | true=4 pred=2 |  X
Trial  367 | true=1 pred=1 | OK
Trial  368 | true=5 pred=5 | OK
Trial  369 | true=4 pred=4 | OK
Trial  370 | true=1 pred=3 |  X
Trial  371 | true=3 pred=3 | OK
Trial  372 | true=2 pred=2 | OK
Trial  373 | true=4 pred=4 | OK
Trial  374 | true=5 pred=5 | OK
Trial  375 | true=5 pred=4 |  X
Trial  376 | true=2 pred=5 |  X
Trial  377 | true=5 pred=1 |  X
Trial  378 | true=1 pred=5 |  X
Trial  379 | true=4 pred=4 | OK
Trial  380 | true=2 pred=2 | OK
Trial  381 | true=1 pred=5 |  X [truncated]
Trial  382 | true=3 pred=3 | OK
Trial  383 | true=2 pred=2 | OK
Trial  384 | true=2 pred=2 | OK
Trial  385 | true=1 pred=1 | OK
Trial  386 | true=4 pred=4 | OK
Trial  387 | true=2 pred=2 | OK
Trial  388 | true=4 pred=1 |  X
Trial  389 | true=2 pred=2 | OK
Trial  390 | true=1 pred=1 | OK
Trial  391 | true=5 pred=5 | OK
Trial  392 | true=4 pred=4 | OK
Trial  393 | true=1 pred=1 | OK
Trial  394 | true=2 pred=2 | OK
Trial  395 | true=5 pred=1 |  X
Trial  396 | true=1 pred=3 |  X
Trial  397 | true=1 pred=1 | OK
Trial  398 | true=5 pred=5 | OK
Trial  399 | true=3 pred=3 | OK
Trial  400 | true=1 pred=3 |  X
Trial  401 | true=2 pred=5 |  X [truncated]
Trial  402 | true=1 pred=3 |  X
Trial  403 | true=4 pred=4 | OK
Trial  404 | true=1 pred=1 | OK
Trial  405 | true=5 pred=5 | OK
Trial  406 | true=3 pred=3 | OK
Trial  407 | true=2 pred=2 | OK
Trial  408 | true=1 pred=5 |  X
Trial  409 | true=2 pred=2 | OK
Trial  410 | true=3 pred=3 | OK
Trial  411 | true=1 pred=3 |  X
Trial  412 | true=4 pred=1 |  X
Trial  413 | true=1 pred=1 | OK
Trial  414 | true=5 pred=1 |  X
Trial  415 | true=2 pred=2 | OK [reasoning] [truncated]
Trial  416 | true=3 pred=3 | OK
Trial  417 | true=3 pred=3 | OK
Trial  418 | true=5 pred=2 |  X
Trial  419 | true=4 pred=3 |  X
Trial  420 | true=2 pred=3 |  X
Trial  421 | true=2 pred=2 | OK
Trial  422 | true=2 pred=2 | OK
Trial  423 | true=2 pred=5 |  X [reasoning] [truncated]
Trial  424 | true=5 pred=2 |  X
Trial  425 | true=4 pred=1 |  X [truncated]
Trial  426 | true=2 pred=5 |  X [truncated]
Trial  427 | true=3 pred=3 | OK
Trial  428 | true=2 pred=2 | OK
Trial  429 | true=5 pred=5 | OK
Trial  430 | true=3 pred=1 |  X
Trial  431 | true=2 pred=2 | OK
Trial  432 | true=5 pred=5 | OK
Trial  433 | true=5 pred=2 |  X
Trial  434 | true=5 pred=5 | OK
Trial  435 | true=3 pred=3 | OK
Trial  436 | true=4 pred=2 |  X
Trial  437 | true=3 pred=3 | OK
Trial  438 | true=3 pred=3 | OK
Trial  439 | true=2 pred=3 |  X
Trial  440 | true=1 pred=1 | OK
Trial  441 | true=4 pred=4 | OK
Trial  442 | true=4 pred=2 |  X
Trial  443 | true=1 pred=1 | OK
Trial  444 | true=1 pred=5 |  X
Trial  445 | true=1 pred=1 | OK
Trial  446 | true=4 pred=3 |  X
Trial  447 | true=4 pred=4 | OK
Trial  448 | true=4 pred=4 | OK [truncated]
Trial  449 | true=3 pred=3 | OK
Trial  450 | true=2 pred=1 |  X
Trial  451 | true=4 pred=3 |  X
Trial  452 | true=3 pred=3 | OK
Trial  453 | true=4 pred=2 |  X
Trial  454 | true=2 pred=2 | OK
Trial  455 | true=4 pred=1 |  X
Trial  456 | true=3 pred=3 | OK
Trial  457 | true=4 pred=4 | OK [truncated]
Trial  458 | true=5 pred=5 | OK
Trial  459 | true=1 pred=5 |  X [truncated]
Trial  460 | true=5 pred=5 | OK
Trial  461 | true=5 pred=5 | OK
Trial  462 | true=1 pred=1 | OK [reasoning] [truncated]
Trial  463 | true=4 pred=5 |  X
Trial  464 | true=2 pred=2 | OK
Trial  465 | true=2 pred=2 | OK
Trial  466 | true=3 pred=3 | OK
Trial  467 | true=5 pred=3 |  X
Trial  468 | true=3 pred=3 | OK
Trial  469 | true=5 pred=3 |  X
Trial  470 | true=5 pred=5 | OK
Trial  471 | true=2 pred=2 | OK
Trial  472 | true=2 pred=2 | OK
Trial  473 | true=1 pred=3 |  X
Trial  474 | true=5 pred=4 |  X
Trial  475 | true=5 pred=5 | OK
Trial  476 | true=2 pred=2 | OK
Trial  477 | true=4 pred=2 |  X
Trial  478 | true=4 pred=4 | OK
Trial  479 | true=5 pred=5 | OK
Trial  480 | true=1 pred=1 | OK
Trial  481 | true=4 pred=2 |  X
Trial  482 | true=5 pred=3 |  X
Trial  483 | true=1 pred=1 | OK
Trial  484 | true=5 pred=5 | OK
Trial  485 | true=5 pred=5 | OK
Trial  486 | true=1 pred=5 |  X
Trial  487 | true=4 pred=3 |  X
Trial  488 | true=1 pred=1 | OK
Trial  489 | true=1 pred=1 | OK
Trial  490 | true=3 pred=3 | OK
Trial  491 | true=5 pred=3 |  X
Trial  492 | true=3 pred=3 | OK
Trial  493 | true=4 pred=4 | OK
Trial  494 | true=1 pred=3 |  X
Trial  495 | true=2 pred=2 | OK
Trial  496 | true=3 pred=4 |  X
Trial  497 | true=2 pred=2 | OK
Trial  498 | true=5 pred=5 | OK
Trial  499 | true=4 pred=4 | OK
Trial  500 | true=2 pred=2 | OK
Trial  501 | true=1 pred=2 |  X
Trial  502 | true=2 pred=2 | OK
Trial  503 | true=2 pred=2 | OK
Trial  504 | true=4 pred=4 | OK
Trial  505 | true=4 pred=1 |  X
Trial  506 | true=1 pred=1 | OK
Trial  507 | true=4 pred=1 |  X
Trial  508 | true=1 pred=3 |  X
Trial  509 | true=5 pred=2 |  X
Trial  510 | true=4 pred=4 | OK
Trial  511 | true=4 pred=5 |  X [truncated]
Trial  512 | true=5 pred=5 | OK
Trial  513 | true=5 pred=5 | OK
Trial  514 | true=1 pred=1 | OK
Trial  515 | true=2 pred=4 |  X
Trial  516 | true=1 pred=4 |  X
Trial  517 | true=2 pred=2 | OK
Trial  518 | true=5 pred=5 | OK
Trial  519 | true=4 pred=3 |  X
Trial  520 | true=1 pred=1 | OK
Trial  521 | true=4 pred=4 | OK
Trial  522 | true=3 pred=3 | OK
Trial  523 | true=3 pred=3 | OK
Trial  524 | true=1 pred=3 |  X
Trial  525 | true=2 pred=1 |  X
Trial  526 | true=1 pred=2 |  X
Trial  527 | true=1 pred=1 | OK
Trial  528 | true=1 pred=1 | OK
Trial  529 | true=1 pred=1 | OK
Trial  530 | true=4 pred=4 | OK
Trial  531 | true=2 pred=2 | OK
Trial  532 | true=5 pred=5 | OK
Trial  533 | true=1 pred=1 | OK
Trial  534 | true=5 pred=5 | OK
Trial  535 | true=1 pred=1 | OK
Trial  536 | true=1 pred=1 | OK
Trial  537 | true=3 pred=3 | OK
Trial  538 | true=3 pred=3 | OK
Trial  539 | true=5 pred=5 | OK [truncated]
Trial  540 | true=1 pred=1 | OK
Trial  541 | true=3 pred=3 | OK
Trial  542 | true=4 pred=4 | OK
Trial  543 | true=3 pred=3 | OK
Trial  544 | true=1 pred=1 | OK
Trial  545 | true=3 pred=3 | OK
Trial  546 | true=1 pred=2 |  X
Trial  547 | true=4 pred=4 | OK
Trial  548 | true=3 pred=3 | OK
Trial  549 | true=2 pred=5 |  X
Trial  550 | true=5 pred=5 | OK
Trial  551 | true=4 pred=4 | OK
Trial  552 | true=5 pred=3 |  X
Trial  553 | true=2 pred=3 |  X
Trial  554 | true=4 pred=4 | OK
Trial  555 | true=4 pred=4 | OK
Trial  556 | true=5 pred=4 |  X
Trial  557 | true=1 pred=3 |  X [truncated]
Trial  558 | true=2 pred=3 |  X
Trial  559 | true=1 pred=4 |  X [truncated]
Trial  560 | true=3 pred=3 | OK
Trial  561 | true=3 pred=3 | OK
Trial  562 | true=3 pred=3 | OK
Trial  563 | true=1 pred=1 | OK
Trial  564 | true=1 pred=5 |  X [truncated]
Trial  565 | true=5 pred=5 | OK
Trial  566 | true=5 pred=5 | OK
Trial  567 | true=3 pred=3 | OK
Trial  568 | true=5 pred=5 | OK
Trial  569 | true=5 pred=5 | OK
Trial  570 | true=4 pred=4 | OK
Trial  571 | true=4 pred=3 |  X
Trial  572 | true=1 pred=2 |  X
Trial  573 | true=4 pred=2 |  X
Trial  574 | true=2 pred=5 |  X
Trial  575 | true=2 pred=2 | OK
Trial  576 | true=2 pred=2 | OK
Trial  577 | true=1 pred=5 |  X
Trial  578 | true=3 pred=3 | OK
Trial  579 | true=2 pred=2 | OK
Trial  580 | true=3 pred=3 | OK
Trial  581 | true=1 pred=1 | OK
Trial  582 | true=3 pred=5 |  X
Trial  583 | true=4 pred=5 |  X
Trial  584 | true=3 pred=3 | OK
Trial  585 | true=3 pred=3 | OK
Trial  586 | true=2 pred=2 | OK
Trial  587 | true=3 pred=3 | OK
Trial  588 | true=3 pred=3 | OK
Trial  589 | true=5 pred=5 | OK
Trial  590 | true=3 pred=3 | OK
Trial  591 | true=1 pred=5 |  X [truncated]
Trial  592 | true=4 pred=4 | OK
Trial  593 | true=5 pred=5 | OK [truncated]
Trial  594 | true=2 pred=4 |  X
Trial  595 | true=1 pred=1 | OK
Trial  596 | true=3 pred=5 |  X
Trial  597 | true=3 pred=3 | OK
Trial  598 | true=2 pred=2 | OK
Trial  599 | true=1 pred=4 |  X [reasoning] [truncated]
Trial  600 | true=3 pred=4 |  X
Trial  601 | true=3 pred=1 |  X
Trial  602 | true=4 pred=4 | OK
Trial  603 | true=1 pred=2 |  X
Trial  604 | true=4 pred=4 | OK
Trial  605 | true=4 pred=4 | OK
Trial  606 | true=3 pred=4 |  X
Trial  607 | true=5 pred=5 | OK
Trial  608 | true=1 pred=1 | OK
Trial  609 | true=5 pred=5 | OK
Trial  610 | true=5 pred=2 |  X [truncated]
Trial  611 | true=4 pred=2 |  X
Trial  612 | true=5 pred=5 | OK
Trial  613 | true=2 pred=2 | OK
Trial  614 | true=5 pred=5 | OK
Trial  615 | true=5 pred=1 |  X
Trial  616 | true=5 pred=5 | OK
Trial  617 | true=5 pred=5 | OK [truncated]
Trial  618 | true=4 pred=4 | OK
Trial  619 | true=2 pred=4 |  X
Trial  620 | true=5 pred=1 |  X [truncated]
Trial  621 | true=3 pred=3 | OK
Trial  622 | true=3 pred=5 |  X
Trial  623 | true=4 pred=2 |  X
Trial  624 | true=4 pred=4 | OK [truncated]
Trial  625 | true=3 pred=3 | OK
Trial  626 | true=5 pred=4 |  X
Trial  627 | true=2 pred=2 | OK
Trial  628 | true=4 pred=4 | OK
Trial  629 | true=2 pred=1 |  X
Trial  630 | true=2 pred=2 | OK
Trial  631 | true=4 pred=4 | OK
Trial  632 | true=5 pred=4 |  X
Trial  633 | true=2 pred=2 | OK
Trial  634 | true=4 pred=2 |  X
Trial  635 | true=3 pred=3 | OK
Trial  636 | true=4 pred=4 | OK
Trial  637 | true=3 pred=3 | OK
Trial  638 | true=5 pred=5 | OK
Trial  639 | true=3 pred=1 |  X
Trial  640 | true=3 pred=3 | OK
Trial  641 | true=4 pred=4 | OK [truncated]
Trial  642 | true=4 pred=4 | OK
Trial  643 | true=5 pred=5 | OK
Trial  644 | true=2 pred=2 | OK
Trial  645 | true=2 pred=3 |  X
Trial  646 | true=4 pred=4 | OK
Trial  647 | true=2 pred=2 | OK
Trial  648 | true=4 pred=4 | OK
Trial  649 | true=5 pred=5 | OK
Trial  650 | true=1 pred=1 | OK
Trial  651 | true=2 pred=2 | OK
Trial  652 | true=2 pred=4 |  X
Trial  653 | true=2 pred=5 |  X
Trial  654 | true=1 pred=4 |  X
Trial  655 | true=5 pred=2 |  X
Trial  656 | true=5 pred=2 |  X
Trial  657 | true=4 pred=1 |  X
Trial  658 | true=3 pred=3 | OK
Trial  659 | true=4 pred=1 |  X
Trial  660 | true=5 pred=5 | OK
Trial  661 | true=1 pred=4 |  X
Trial  662 | true=5 pred=3 |  X
Trial  663 | true=1 pred=3 |  X
Trial  664 | true=1 pred=1 | OK
Trial  665 | true=1 pred=3 |  X
Trial  666 | true=3 pred=2 |  X
Trial  667 | true=5 pred=5 | OK
Trial  668 | true=2 pred=1 |  X [truncated]
Trial  669 | true=5 pred=5 | OK
Trial  670 | true=1 pred=1 | OK
Trial  671 | true=1 pred=3 |  X
Trial  672 | true=1 pred=3 |  X
Trial  673 | true=3 pred=3 | OK
Trial  674 | true=3 pred=2 |  X
