Loading corpus at level h3 ...
  106 clusters, 1,986,659 documents (smallest 3412, largest 49613)

Running intrusion | level=h3 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=1 pred=1 | OK
Trial  182 | true=3 pred=3 | OK
Trial  183 | true=1 pred=1 | OK
Trial  184 | true=4 pred=1 |  X
Trial  185 | true=3 pred=3 | OK
Trial  186 | true=4 pred=4 | OK
Trial  187 | true=2 pred=2 | OK
Trial  188 | true=4 pred=4 | OK
Trial  189 | true=4 pred=4 | OK
Trial  190 | true=4 pred=4 | OK
Trial  191 | true=4 pred=4 | OK
Trial  192 | true=3 pred=3 | OK
Trial  193 | true=4 pred=4 | OK
Trial  194 | true=5 pred=5 | OK
Trial  195 | true=5 pred=5 | OK
Trial  196 | true=3 pred=3 | OK
Trial  197 | true=5 pred=5 | OK
Trial  198 | true=4 pred=4 | OK
Trial  199 | true=2 pred=2 | OK
Trial  200 | true=2 pred=2 | OK
Trial  201 | true=1 pred=1 | OK
Trial  202 | true=3 pred=3 | OK
Trial  203 | true=5 pred=5 | OK
Trial  204 | true=5 pred=5 | OK
Trial  205 | true=5 pred=5 | OK
Trial  206 | true=3 pred=1 |  X
Trial  207 | true=2 pred=2 | OK
Trial  208 | true=2 pred=2 | OK
Trial  209 | true=1 pred=3 |  X
Trial  210 | true=5 pred=5 | OK
Trial  211 | true=5 pred=1 |  X
Trial  212 | true=2 pred=2 | OK
Trial  213 | true=5 pred=5 | OK
Trial  214 | true=2 pred=2 | OK
Trial  215 | true=4 pred=2 |  X
Trial  216 | true=5 pred=5 | OK
Trial  217 | true=3 pred=3 | OK
Trial  218 | true=5 pred=5 | OK
Trial  219 | true=3 pred=3 | OK [truncated]
Trial  220 | true=3 pred=3 | OK
Trial  221 | true=2 pred=4 |  X [truncated]
Trial  222 | true=3 pred=3 | OK
Trial  223 | true=4 pred=4 | OK
Trial  224 | true=4 pred=2 |  X
Trial  225 | true=2 pred=2 | OK
Trial  226 | true=5 pred=5 | OK
Trial  227 | true=1 pred=1 | OK
Trial  228 | true=5 pred=4 |  X
Trial  229 | true=4 pred=4 | OK
Trial  230 | true=1 pred=1 | OK
Trial  231 | true=5 pred=5 | OK
Trial  232 | true=1 pred=1 | OK
Trial  233 | true=5 pred=3 |  X
Trial  234 | true=4 pred=4 | OK
Trial  235 | true=4 pred=4 | OK
Trial  236 | true=4 pred=5 |  X
Trial  237 | true=2 pred=2 | OK
Trial  238 | true=1 pred=1 | OK
Trial  239 | true=2 pred=2 | OK
Trial  240 | true=1 pred=1 | OK
Trial  241 | true=1 pred=5 |  X [truncated]
Trial  242 | true=3 pred=3 | OK
Trial  243 | true=4 pred=4 | OK
Trial  244 | true=2 pred=1 |  X
Trial  245 | true=4 pred=4 | OK
Trial  246 | true=2 pred=2 | OK
Trial  247 | true=1 pred=1 | OK
Trial  248 | true=1 pred=5 |  X [truncated]
Trial  249 | true=1 pred=1 | OK
Trial  250 | true=2 pred=2 | OK
Trial  251 | true=4 pred=4 | OK
Trial  252 | true=4 pred=5 |  X
Trial  253 | true=4 pred=4 | OK [truncated]
Trial  254 | true=3 pred=3 | OK
Trial  255 | true=2 pred=2 | OK
Trial  256 | true=4 pred=4 | OK
Trial  257 | true=3 pred=2 |  X
Trial  258 | true=1 pred=2 |  X
Trial  259 | true=2 pred=2 | OK
Trial  260 | true=3 pred=3 | OK
Trial  261 | true=2 pred=2 | OK
Trial  262 | true=4 pred=1 |  X
Trial  263 | true=3 pred=3 | OK
Trial  264 | true=2 pred=5 |  X [truncated]
Trial  265 | true=4 pred=2 |  X
Trial  266 | true=3 pred=3 | OK
Trial  267 | true=2 pred=2 | OK
Trial  268 | true=3 pred=1 |  X
Trial  269 | true=4 pred=4 | OK
Trial  270 | true=3 pred=3 | OK
Trial  271 | true=2 pred=2 | OK
Trial  272 | true=4 pred=4 | OK
Trial  273 | true=2 pred=5 |  X
Trial  274 | true=5 pred=5 | OK
Trial  275 | true=3 pred=1 |  X
Trial  276 | true=1 pred=1 | OK
Trial  277 | true=1 pred=1 | OK
Trial  278 | true=4 pred=3 |  X
Trial  279 | true=5 pred=5 | OK
Trial  280 | true=4 pred=4 | OK
Trial  281 | true=4 pred=4 | OK
Trial  282 | true=3 pred=3 | OK
Trial  283 | true=1 pred=1 | OK
Trial  284 | true=2 pred=2 | OK
Trial  285 | true=3 pred=3 | OK
Trial  286 | true=5 pred=5 | OK
Trial  287 | true=1 pred=1 | OK
Trial  288 | true=4 pred=2 |  X
Trial  289 | true=5 pred=5 | OK
Trial  290 | true=1 pred=1 | OK
Trial  291 | true=3 pred=3 | OK
Trial  292 | true=2 pred=2 | OK
Trial  293 | true=5 pred=5 | OK
Trial  294 | true=1 pred=1 | OK
Trial  295 | true=4 pred=4 | OK
Trial  296 | true=3 pred=3 | OK
Trial  297 | true=2 pred=2 | OK
Trial  298 | true=1 pred=1 | OK
Trial  299 | true=2 pred=1 |  X
Trial  300 | true=4 pred=4 | OK
Trial  301 | true=5 pred=2 |  X
Trial  302 | true=4 pred=4 | OK
Trial  303 | true=3 pred=3 | OK
Trial  304 | true=1 pred=1 | OK
Trial  305 | true=2 pred=2 | OK
Trial  306 | true=4 pred=1 |  X
Trial  307 | true=3 pred=3 | OK
Trial  308 | true=5 pred=2 |  X
Trial  309 | true=2 pred=2 | OK
Trial  310 | true=4 pred=4 | OK
Trial  311 | true=4 pred=1 |  X
Trial  312 | true=2 pred=2 | OK
Trial  313 | true=5 pred=1 |  X
Trial  314 | true=1 pred=1 | OK
Trial  315 | true=1 pred=2 |  X
Trial  316 | true=4 pred=4 | OK
Trial  317 | true=4 pred=4 | OK
Trial  318 | true=2 pred=2 | OK
Trial  319 | true=3 pred=3 | OK
Trial  320 | true=3 pred=3 | OK
Trial  321 | true=2 pred=2 | OK
Trial  322 | true=3 pred=1 |  X
Trial  323 | true=3 pred=3 | OK
Trial  324 | true=1 pred=1 | OK
Trial  325 | true=4 pred=1 |  X
Trial  326 | true=4 pred=4 | OK
Trial  327 | true=3 pred=3 | OK
Trial  328 | true=4 pred=4 | OK
Trial  329 | true=4 pred=4 | OK
Trial  330 | true=1 pred=5 |  X [truncated]
Trial  331 | true=2 pred=5 |  X
Trial  332 | true=4 pred=4 | OK
Trial  333 | true=5 pred=5 | OK
Trial  334 | true=2 pred=2 | OK
Trial  335 | true=4 pred=4 | OK
Trial  336 | true=4 pred=2 |  X [reasoning] [truncated]
Trial  337 | true=5 pred=5 | OK [truncated]
Trial  338 | true=5 pred=5 | OK
Trial  339 | true=1 pred=4 |  X
Trial  340 | true=3 pred=3 | OK
Trial  341 | true=4 pred=4 | OK
Trial  342 | true=5 pred=5 | OK
Trial  343 | true=3 pred=3 | OK
Trial  344 | true=3 pred=1 |  X
Trial  345 | true=1 pred=1 | OK
Trial  346 | true=1 pred=1 | OK
Trial  347 | true=5 pred=5 | OK
Trial  348 | true=5 pred=5 | OK
Trial  349 | true=5 pred=2 |  X
Trial  350 | true=1 pred=1 | OK
Trial  351 | true=4 pred=4 | OK
Trial  352 | true=3 pred=3 | OK
Trial  353 | true=3 pred=2 |  X
Trial  354 | true=3 pred=3 | OK
Trial  355 | true=3 pred=3 | OK
Trial  356 | true=1 pred=1 | OK
Trial  357 | true=1 pred=1 | OK
Trial  358 | true=2 pred=1 |  X
Trial  359 | true=1 pred=5 |  X
Trial  360 | true=5 pred=3 |  X
Trial  361 | true=2 pred=2 | OK
Trial  362 | true=2 pred=2 | OK
Trial  363 | true=5 pred=5 | OK
Trial  364 | true=1 pred=1 | OK
Trial  365 | true=1 pred=1 | OK
Trial  366 | true=2 pred=4 |  X
Trial  367 | true=5 pred=5 | OK
Trial  368 | true=5 pred=5 | OK
Trial  369 | true=2 pred=1 |  X
Trial  370 | true=5 pred=2 |  X
Trial  371 | true=1 pred=1 | OK
Trial  372 | true=3 pred=3 | OK
Trial  373 | true=5 pred=5 | OK
Trial  374 | true=2 pred=4 |  X
Trial  375 | true=2 pred=5 |  X
Trial  376 | true=5 pred=5 | OK
Trial  377 | true=4 pred=4 | OK
Trial  378 | true=3 pred=5 |  X [truncated]
Trial  379 | true=1 pred=2 |  X
Trial  380 | true=2 pred=2 | OK
Trial  381 | true=4 pred=3 |  X
Trial  382 | true=2 pred=2 | OK
Trial  383 | true=1 pred=1 | OK
Trial  384 | true=2 pred=2 | OK
Trial  385 | true=4 pred=4 | OK
Trial  386 | true=4 pred=1 |  X
Trial  387 | true=2 pred=3 |  X
Trial  388 | true=5 pred=5 | OK
Trial  389 | true=1 pred=1 | OK
Trial  390 | true=1 pred=1 | OK
Trial  391 | true=5 pred=5 | OK
Trial  392 | true=3 pred=1 |  X
Trial  393 | true=1 pred=1 | OK
Trial  394 | true=4 pred=5 |  X
Trial  395 | true=4 pred=4 | OK
Trial  396 | true=4 pred=4 | OK
Trial  397 | true=1 pred=1 | OK
Trial  398 | true=1 pred=1 | OK
Trial  399 | true=3 pred=3 | OK
Trial  400 | true=3 pred=3 | OK
Trial  401 | true=1 pred=5 |  X
Trial  402 | true=2 pred=2 | OK
Trial  403 | true=2 pred=2 | OK
Trial  404 | true=2 pred=1 |  X
Trial  405 | true=2 pred=2 | OK
Trial  406 | true=3 pred=3 | OK
Trial  407 | true=1 pred=4 |  X
Trial  408 | true=4 pred=1 |  X
Trial  409 | true=3 pred=3 | OK
Trial  410 | true=5 pred=2 |  X
Trial  411 | true=2 pred=2 | OK
Trial  412 | true=4 pred=4 | OK
Trial  413 | true=5 pred=5 | OK
Trial  414 | true=1 pred=1 | OK
Trial  415 | true=2 pred=2 | OK
Trial  416 | true=5 pred=5 | OK
Trial  417 | true=5 pred=5 | OK
Trial  418 | true=1 pred=3 |  X
Trial  419 | true=2 pred=2 | OK
Trial  420 | true=2 pred=2 | OK
Trial  421 | true=3 pred=3 | OK
Trial  422 | true=5 pred=4 |  X
Trial  423 | true=2 pred=2 | OK
Trial  424 | true=5 pred=4 |  X
Trial  425 | true=4 pred=2 |  X
Trial  426 | true=5 pred=5 | OK
Trial  427 | true=3 pred=3 | OK
Trial  428 | true=4 pred=4 | OK
Trial  429 | true=5 pred=5 | OK
Trial  430 | true=4 pred=4 | OK
Trial  431 | true=1 pred=1 | OK
Trial  432 | true=3 pred=3 | OK
Trial  433 | true=4 pred=4 | OK
Trial  434 | true=4 pred=4 | OK
Trial  435 | true=4 pred=4 | OK
Trial  436 | true=4 pred=4 | OK
Trial  437 | true=5 pred=4 |  X
Trial  438 | true=4 pred=4 | OK
Trial  439 | true=4 pred=4 | OK
Trial  440 | true=3 pred=2 |  X
Trial  441 | true=4 pred=4 | OK
Trial  442 | true=2 pred=2 | OK
Trial  443 | true=1 pred=1 | OK
Trial  444 | true=5 pred=5 | OK
Trial  445 | true=1 pred=1 | OK
Trial  446 | true=1 pred=1 | OK
Trial  447 | true=3 pred=3 | OK
Trial  448 | true=2 pred=2 | OK
Trial  449 | true=1 pred=1 | OK
Trial  450 | true=4 pred=4 | OK
Trial  451 | true=5 pred=5 | OK
Trial  452 | true=3 pred=3 | OK
Trial  453 | true=5 pred=5 | OK
Trial  454 | true=3 pred=3 | OK
Trial  455 | true=3 pred=3 | OK
Trial  456 | true=3 pred=4 |  X
Trial  457 | true=4 pred=4 | OK
Trial  458 | true=5 pred=5 | OK
Trial  459 | true=3 pred=3 | OK [truncated]
Trial  460 | true=5 pred=5 | OK
Trial  461 | true=1 pred=1 | OK
Trial  462 | true=5 pred=4 |  X
Trial  463 | true=1 pred=1 | OK
Trial  464 | true=2 pred=2 | OK
Trial  465 | true=5 pred=4 |  X
Trial  466 | true=3 pred=3 | OK
Trial  467 | true=3 pred=3 | OK
Trial  468 | true=5 pred=3 |  X
Trial  469 | true=2 pred=5 |  X
Trial  470 | true=2 pred=2 | OK
Trial  471 | true=1 pred=1 | OK
Trial  472 | true=2 pred=3 |  X
Trial  473 | true=3 pred=3 | OK
Trial  474 | true=5 pred=3 |  X
Trial  475 | true=3 pred=3 | OK
Trial  476 | true=3 pred=3 | OK
Trial  477 | true=3 pred=3 | OK
Trial  478 | true=1 pred=1 | OK
Trial  479 | true=5 pred=5 | OK
Trial  480 | true=5 pred=5 | OK
Trial  481 | true=5 pred=5 | OK
Trial  482 | true=1 pred=3 |  X
Trial  483 | true=1 pred=1 | OK
Trial  484 | true=2 pred=2 | OK
Trial  485 | true=5 pred=5 | OK
Trial  486 | true=3 pred=3 | OK
Trial  487 | true=1 pred=2 |  X
Trial  488 | true=1 pred=1 | OK
Trial  489 | true=1 pred=4 |  X
Trial  490 | true=3 pred=4 |  X
Trial  491 | true=4 pred=4 | OK
Trial  492 | true=2 pred=2 | OK
Trial  493 | true=4 pred=4 | OK
Trial  494 | true=1 pred=5 |  X
Trial  495 | true=1 pred=1 | OK
Trial  496 | true=4 pred=4 | OK
Trial  497 | true=5 pred=5 | OK
Trial  498 | true=5 pred=5 | OK
Trial  499 | true=4 pred=4 | OK
Trial  500 | true=4 pred=4 | OK
Trial  501 | true=5 pred=5 | OK
Trial  502 | true=1 pred=1 | OK
Trial  503 | true=5 pred=5 | OK [truncated]
Trial  504 | true=5 pred=5 | OK
Trial  505 | true=3 pred=3 | OK
Trial  506 | true=3 pred=3 | OK
Trial  507 | true=1 pred=5 |  X
Trial  508 | true=2 pred=2 | OK
Trial  509 | true=5 pred=4 |  X
Trial  510 | true=3 pred=5 |  X [truncated]
Trial  511 | true=5 pred=5 | OK
Trial  512 | true=5 pred=5 | OK
Trial  513 | true=4 pred=4 | OK
Trial  514 | true=1 pred=1 | OK
Trial  515 | true=1 pred=1 | OK
Trial  516 | true=5 pred=5 | OK
Trial  517 | true=2 pred=2 | OK
Trial  518 | true=5 pred=5 | OK
Trial  519 | true=2 pred=2 | OK
Trial  520 | true=3 pred=3 | OK
Trial  521 | true=4 pred=4 | OK
Trial  522 | true=2 pred=2 | OK
Trial  523 | true=5 pred=5 | OK
Trial  524 | true=3 pred=3 | OK
Trial  525 | true=2 pred=2 | OK
Trial  526 | true=4 pred=1 |  X
Trial  527 | true=4 pred=1 |  X
Trial  528 | true=3 pred=5 |  X [truncated]
Trial  529 | true=4 pred=4 | OK
Trial  530 | true=3 pred=3 | OK
Trial  531 | true=4 pred=5 |  X
Trial  532 | true=5 pred=5 | OK
Trial  533 | true=3 pred=3 | OK
Trial  534 | true=5 pred=5 | OK
Trial  535 | true=2 pred=4 |  X
Trial  536 | true=2 pred=2 | OK
Trial  537 | true=3 pred=3 | OK
Trial  538 | true=1 pred=1 | OK
Trial  539 | true=3 pred=3 | OK
Trial  540 | true=5 pred=5 | OK [truncated]
Trial  541 | true=3 pred=5 |  X [truncated]
Trial  542 | true=5 pred=5 | OK
Trial  543 | true=3 pred=5 |  X
Trial  544 | true=4 pred=4 | OK
Trial  545 | true=3 pred=3 | OK
Trial  546 | true=3 pred=3 | OK
Trial  547 | true=4 pred=4 | OK
Trial  548 | true=3 pred=2 |  X
Trial  549 | true=5 pred=5 | OK
Trial  550 | true=3 pred=3 | OK
Trial  551 | true=5 pred=5 | OK
Trial  552 | true=3 pred=3 | OK
Trial  553 | true=5 pred=3 |  X
Trial  554 | true=3 pred=3 | OK
Trial  555 | true=5 pred=3 |  X
Trial  556 | true=1 pred=1 | OK
Trial  557 | true=5 pred=4 |  X
Trial  558 | true=3 pred=3 | OK
Trial  559 | true=3 pred=3 | OK
Trial  560 | true=5 pred=5 | OK
Trial  561 | true=5 pred=2 |  X
Trial  562 | true=4 pred=3 |  X [truncated]
Trial  563 | true=1 pred=1 | OK
Trial  564 | true=3 pred=3 | OK
Trial  565 | true=1 pred=1 | OK
Trial  566 | true=4 pred=4 | OK
Trial  567 | true=1 pred=5 |  X [truncated]
Trial  568 | true=1 pred=1 | OK
Trial  569 | true=3 pred=3 | OK
Trial  570 | true=4 pred=2 |  X
Trial  571 | true=3 pred=3 | OK
Trial  572 | true=1 pred=5 |  X
Trial  573 | true=4 pred=4 | OK
Trial  574 | true=2 pred=2 | OK
Trial  575 | true=3 pred=3 | OK
Trial  576 | true=1 pred=1 | OK
Trial  577 | true=3 pred=3 | OK
Trial  578 | true=2 pred=2 | OK
Trial  579 | true=1 pred=1 | OK
Trial  580 | true=3 pred=3 | OK
Trial  581 | true=3 pred=3 | OK
Trial  582 | true=4 pred=3 |  X
Trial  583 | true=1 pred=1 | OK
Trial  584 | true=2 pred=3 |  X
Trial  585 | true=3 pred=1 |  X
Trial  586 | true=5 pred=5 | OK
Trial  587 | true=4 pred=3 |  X
Trial  588 | true=3 pred=5 |  X
Trial  589 | true=2 pred=2 | OK
Trial  590 | true=5 pred=5 | OK
Trial  591 | true=5 pred=5 | OK
Trial  592 | true=3 pred=3 | OK
Trial  593 | true=3 pred=3 | OK
Trial  594 | true=5 pred=5 | OK
Trial  595 | true=1 pred=1 | OK
Trial  596 | true=1 pred=5 |  X
Trial  597 | true=5 pred=5 | OK
Trial  598 | true=2 pred=2 | OK
Trial  599 | true=1 pred=3 |  X
Trial  600 | true=4 pred=4 | OK
Trial  601 | true=5 pred=5 | OK
Trial  602 | true=1 pred=2 |  X
Trial  603 | true=1 pred=1 | OK
Trial  604 | true=3 pred=3 | OK
Trial  605 | true=5 pred=5 | OK
Trial  606 | true=2 pred=2 | OK
Trial  607 | true=4 pred=4 | OK
Trial  608 | true=3 pred=5 |  X
Trial  609 | true=5 pred=5 | OK
Trial  610 | true=4 pred=4 | OK
Trial  611 | true=1 pred=1 | OK
Trial  612 | true=3 pred=3 | OK
Trial  613 | true=5 pred=4 |  X [truncated]
Trial  614 | true=5 pred=4 |  X
Trial  615 | true=5 pred=5 | OK
Trial  616 | true=2 pred=2 | OK
Trial  617 | true=1 pred=1 | OK
Trial  618 | true=3 pred=3 | OK
Trial  619 | true=2 pred=2 | OK
Trial  620 | true=4 pred=4 | OK
Trial  621 | true=1 pred=1 | OK
Trial  622 | true=2 pred=3 |  X
Trial  623 | true=2 pred=2 | OK
Trial  624 | true=5 pred=5 | OK
Trial  625 | true=1 pred=1 | OK
Trial  626 | true=5 pred=5 | OK
Trial  627 | true=1 pred=1 | OK
Trial  628 | true=4 pred=5 |  X
Trial  629 | true=2 pred=2 | OK
Trial  630 | true=5 pred=1 |  X
Trial  631 | true=5 pred=5 | OK
Trial  632 | true=2 pred=2 | OK
Trial  633 | true=4 pred=4 | OK
Trial  634 | true=3 pred=3 | OK
Trial  635 | true=5 pred=5 | OK
Trial  636 | true=5 pred=5 | OK
Trial  637 | true=3 pred=3 | OK
Trial  638 | true=5 pred=1 |  X [reasoning] [truncated]
Trial  639 | true=4 pred=4 | OK
Trial  640 | true=1 pred=1 | OK
Trial  641 | true=3 pred=3 | OK
Trial  642 | true=5 pred=5 | OK
Trial  643 | true=3 pred=4 |  X
Trial  644 | true=3 pred=3 | OK
Trial  645 | true=5 pred=5 | OK
Trial  646 | true=3 pred=3 | OK
Trial  647 | true=5 pred=5 | OK
Trial  648 | true=1 pred=1 | OK
Trial  649 | true=2 pred=2 | OK
Trial  650 | true=3 pred=2 |  X
Trial  651 | true=5 pred=5 | OK
Trial  652 | true=2 pred=2 | OK
Trial  653 | true=3 pred=3 | OK
Trial  654 | true=4 pred=5 |  X
Trial  655 | true=4 pred=4 | OK
Trial  656 | true=3 pred=3 | OK
Trial  657 | true=3 pred=3 | OK
Trial  658 | true=4 pred=4 | OK
Trial  659 | true=4 pred=4 | OK
Trial  660 | true=5 pred=5 | OK
Trial  661 | true=1 pred=4 |  X
Trial  662 | true=1 pred=1 | OK
Trial  663 | true=4 pred=1 |  X
Trial  664 | true=1 pred=1 | OK
Trial  665 | true=3 pred=3 | OK
Trial  666 | true=2 pred=1 |  X
Trial  667 | true=4 pred=4 | OK
Trial  668 | true=3 pred=2 |  X
Trial  669 | true=2 pred=2 | OK
Trial  670 | true=3 pred=3 | OK
Trial  671 | true=4 pred=4 | OK
Trial  672 | true=3 pred=3 | OK
Trial  673 | true=4 pred=4 | OK
Trial  674 | true=3 pred=3 | OK
Trial  675 | true=4 pred=4 | OK
Trial  676 | true=3 pred=3 | OK
Trial  677 | true=2 pred=1 |  X
Trial  678 | true=1 pred=1 | OK
Trial  679 | true=1 pred=1 | OK
Trial  680 | true=5 pred=5 | OK
Trial  681 | true=1 pred=1 | OK
Trial  682 | true=5 pred=2 |  X
